no,n_estimators,max_depth,eta,subsample,colsample_bytree,MSE,R
113,100,1,0.1,0.1,0.2,54.51709752,0.373405034
114,100,1,0.1,0.1,0.3,54.51709752,0.373405034
115,100,1,0.1,0.1,0.4,49.44194885,0.517377941
116,100,1,0.1,0.1,0.5,49.44194885,0.517377941
117,100,1,0.1,0.1,0.6,67.20280119,0.293205182
118,100,1,0.1,0.1,0.7,67.20280119,0.293205182
119,100,1,0.1,0.1,0.8,72.42214608,0.191038748
120,100,1,0.1,0.1,0.9,72.42214608,0.191038748
121,100,1,0.1,0.2,0,65.88114697,0.143321643
122,100,1,0.1,0.2,0.1,65.88114697,0.143321643
123,100,1,0.1,0.2,0.2,65.88114697,0.143321643
124,100,1,0.1,0.2,0.3,65.88114697,0.143321643
125,100,1,0.1,0.2,0.4,80.20258216,-0.058900962
126,100,1,0.1,0.2,0.5,80.20258216,-0.058900962
127,100,1,0.1,0.2,0.6,84.4990105,-0.078071426
128,100,1,0.1,0.2,0.7,84.4990105,-0.078071426
129,100,1,0.1,0.2,0.8,82.91321323,0.006285519
130,100,1,0.1,0.2,0.9,82.91321323,0.006285519
131,100,1,0.1,0.3,0,64.57683039,0.240583205
132,100,1,0.1,0.3,0.1,64.57683039,0.240583205
133,100,1,0.1,0.3,0.2,64.57683039,0.240583205
134,100,1,0.1,0.3,0.3,64.57683039,0.240583205
135,100,1,0.1,0.3,0.4,71.00426029,0.144743526
136,100,1,0.1,0.3,0.5,71.00426029,0.144743526
137,100,1,0.1,0.3,0.6,70.34868031,0.12162019
138,100,1,0.1,0.3,0.7,70.34868031,0.12162019
139,100,1,0.1,0.3,0.8,72.26302719,0.119008841
140,100,1,0.1,0.3,0.9,72.26302719,0.119008841
141,100,1,0.1,0.4,0,53.63290916,0.435311563
142,100,1,0.1,0.4,0.1,53.63290916,0.435311563
143,100,1,0.1,0.4,0.2,53.63290916,0.435311563
144,100,1,0.1,0.4,0.3,53.63290916,0.435311563
145,100,1,0.1,0.4,0.4,56.41160788,0.415808912
146,100,1,0.1,0.4,0.5,56.41160788,0.415808912
147,100,1,0.1,0.4,0.6,64.42298067,0.19000858
148,100,1,0.1,0.4,0.7,64.42298067,0.19000858
149,100,1,0.1,0.4,0.8,66.93703892,0.157111269
150,100,1,0.1,0.4,0.9,66.93703892,0.157111269
151,100,1,0.1,0.5,0,58.65948537,0.359168116
152,100,1,0.1,0.5,0.1,58.65948537,0.359168116
153,100,1,0.1,0.5,0.2,58.65948537,0.359168116
154,100,1,0.1,0.5,0.3,58.65948537,0.359168116
155,100,1,0.1,0.5,0.4,60.04016089,0.349056261
156,100,1,0.1,0.5,0.5,60.04016089,0.349056261
157,100,1,0.1,0.5,0.6,58.01771315,0.371085198
158,100,1,0.1,0.5,0.7,58.01771315,0.371085198
159,100,1,0.1,0.5,0.8,61.25264048,0.304535119
160,100,1,0.1,0.5,0.9,61.25264048,0.304535119
161,100,1,0.1,0.6,0,61.75384614,0.340304543
162,100,1,0.1,0.6,0.1,61.75384614,0.340304543
163,100,1,0.1,0.6,0.2,61.75384614,0.340304543
164,100,1,0.1,0.6,0.3,61.75384614,0.340304543
165,100,1,0.1,0.6,0.4,62.97199427,0.317222091
166,100,1,0.1,0.6,0.5,62.97199427,0.317222091
167,100,1,0.1,0.6,0.6,63.2374974,0.253801191
168,100,1,0.1,0.6,0.7,63.2374974,0.253801191
169,100,1,0.1,0.6,0.8,65.68867055,0.238875264
170,100,1,0.1,0.6,0.9,65.68867055,0.238875264
171,100,1,0.1,0.7,0,60.52175055,0.334963698
172,100,1,0.1,0.7,0.1,60.52175055,0.334963698
173,100,1,0.1,0.7,0.2,60.52175055,0.334963698
174,100,1,0.1,0.7,0.3,60.52175055,0.334963698
175,100,1,0.1,0.7,0.4,60.72282348,0.337517603
176,100,1,0.1,0.7,0.5,60.72282348,0.337517603
177,100,1,0.1,0.7,0.6,58.68529554,0.360595225
178,100,1,0.1,0.7,0.7,58.68529554,0.360595225
179,100,1,0.1,0.7,0.8,58.55137536,0.373812942
180,100,1,0.1,0.7,0.9,58.55137536,0.373812942
181,100,1,0.1,0.8,0,64.80301005,0.260862301
182,100,1,0.1,0.8,0.1,64.80301005,0.260862301
183,100,1,0.1,0.8,0.2,64.80301005,0.260862301
184,100,1,0.1,0.8,0.3,64.80301005,0.260862301
185,100,1,0.1,0.8,0.4,63.5784175,0.273430363
186,100,1,0.1,0.8,0.5,63.5784175,0.273430363
187,100,1,0.1,0.8,0.6,61.55868083,0.31513657
188,100,1,0.1,0.8,0.7,61.55868083,0.31513657
189,100,1,0.1,0.8,0.8,62.44091946,0.313047377
190,100,1,0.1,0.8,0.9,62.44091946,0.313047377
191,100,1,0.1,0.9,0,67.05166604,0.253474483
192,100,1,0.1,0.9,0.1,67.05166604,0.253474483
193,100,1,0.1,0.9,0.2,67.05166604,0.253474483
194,100,1,0.1,0.9,0.3,67.05166604,0.253474483
195,100,1,0.1,0.9,0.4,65.26820169,0.251954847
196,100,1,0.1,0.9,0.5,65.26820169,0.251954847
197,100,1,0.1,0.9,0.6,64.4116991,0.275669333
198,100,1,0.1,0.9,0.7,64.4116991,0.275669333
199,100,1,0.1,0.9,0.8,61.7617148,0.335384022
200,100,1,0.1,0.9,0.9,61.7617148,0.335384022
201,100,1,0.2,0,0,68.77345456,nan
202,100,1,0.2,0,0.1,68.77345456,nan
203,100,1,0.2,0,0.2,68.77345456,nan
204,100,1,0.2,0,0.3,68.77345456,nan
205,100,1,0.2,0,0.4,68.77345456,nan
206,100,1,0.2,0,0.5,68.77345456,nan
207,100,1,0.2,0,0.6,68.77345456,nan
208,100,1,0.2,0,0.7,68.77345456,nan
209,100,1,0.2,0,0.8,68.77345456,nan
210,100,1,0.2,0,0.9,68.77345456,nan
211,100,1,0.2,0.1,0,59.67431941,0.301264457
212,100,1,0.2,0.1,0.1,59.67431941,0.301264457
213,100,1,0.2,0.1,0.2,59.67431941,0.301264457
214,100,1,0.2,0.1,0.3,59.67431941,0.301264457
215,100,1,0.2,0.1,0.4,51.36689589,0.491535936
216,100,1,0.2,0.1,0.5,51.36689589,0.491535936
217,100,1,0.2,0.1,0.6,92.64388944,0.075681634
218,100,1,0.2,0.1,0.7,92.64388944,0.075681634
219,100,1,0.2,0.1,0.8,82.47684868,0.148323425
220,100,1,0.2,0.1,0.9,82.47684868,0.148323425
221,100,1,0.2,0.2,0,65.36729066,0.18315622
222,100,1,0.2,0.2,0.1,65.36729066,0.18315622
223,100,1,0.2,0.2,0.2,65.36729066,0.18315622
224,100,1,0.2,0.2,0.3,65.36729066,0.18315622
225,100,1,0.2,0.2,0.4,104.3255702,-0.158735384
226,100,1,0.2,0.2,0.5,104.3255702,-0.158735384
227,100,1,0.2,0.2,0.6,124.2957793,-0.201474139
228,100,1,0.2,0.2,0.7,124.2957793,-0.201474139
229,100,1,0.2,0.2,0.8,105.7846847,-0.17796656
230,100,1,0.2,0.2,0.9,105.7846847,-0.17796656
231,100,1,0.2,0.3,0,66.63902553,0.246413844
232,100,1,0.2,0.3,0.1,66.63902553,0.246413844
233,100,1,0.2,0.3,0.2,66.63902553,0.246413844
234,100,1,0.2,0.3,0.3,66.63902553,0.246413844
235,100,1,0.2,0.3,0.4,84.52680393,-0.023450799
236,100,1,0.2,0.3,0.5,84.52680393,-0.023450799
237,100,1,0.2,0.3,0.6,85.64767839,0.008854154
238,100,1,0.2,0.3,0.7,85.64767839,0.008854154
239,100,1,0.2,0.3,0.8,82.12328825,0.071968367
240,100,1,0.2,0.3,0.9,82.12328825,0.071968367
241,100,1,0.2,0.4,0,55.42972875,0.376222904
242,100,1,0.2,0.4,0.1,55.42972875,0.376222904
243,100,1,0.2,0.4,0.2,55.42972875,0.376222904
244,100,1,0.2,0.4,0.3,55.42972875,0.376222904
245,100,1,0.2,0.4,0.4,62.85108785,0.319664664
246,100,1,0.2,0.4,0.5,62.85108785,0.319664664
247,100,1,0.2,0.4,0.6,78.70438504,-0.072323477
248,100,1,0.2,0.4,0.7,78.70438504,-0.072323477
249,100,1,0.2,0.4,0.8,76.32080749,0.053207901
250,100,1,0.2,0.4,0.9,76.32080749,0.053207901
251,100,1,0.2,0.5,0,54.58922376,0.433490875
252,100,1,0.2,0.5,0.1,54.58922376,0.433490875
253,100,1,0.2,0.5,0.2,54.58922376,0.433490875
254,100,1,0.2,0.5,0.3,54.58922376,0.433490875
255,100,1,0.2,0.5,0.4,55.81630516,0.419621037
256,100,1,0.2,0.5,0.5,55.81630516,0.419621037
257,100,1,0.2,0.5,0.6,74.46665245,0.131176924
258,100,1,0.2,0.5,0.7,74.46665245,0.131176924
259,100,1,0.2,0.5,0.8,66.32977986,0.220425893
260,100,1,0.2,0.5,0.9,66.32977986,0.220425893
261,100,1,0.2,0.6,0,58.73341026,0.409197172
262,100,1,0.2,0.6,0.1,58.73341026,0.409197172
263,100,1,0.2,0.6,0.2,58.73341026,0.409197172
264,100,1,0.2,0.6,0.3,58.73341026,0.409197172
265,100,1,0.2,0.6,0.4,68.73593914,0.232795099
266,100,1,0.2,0.6,0.5,68.73593914,0.232795099
