,n_iter,Number of Ants,alpha,beta,Evaporation rate,n_node,MSE,R
87,200,100,0.4,0.5,0.5,700,14.39896789,0.959565788
88,200,100,0.4,0.5,0.5,800,13.73886834,0.958564369
89,200,100,0.4,0.5,0.5,900,13.52180794,0.959214579
90,200,100,0.4,0.5,0.5,1000,13.95860883,0.96043989
91,200,100,0.4,0.5,0.6,500,17.84319633,0.958343661
92,200,100,0.4,0.5,0.6,600,18.8097571,0.958782177
93,200,100,0.4,0.5,0.6,700,26.39894089,0.964058477
94,200,100,0.4,0.5,0.6,800,20.72135596,0.957555695
95,200,100,0.4,0.5,0.6,900,18.97763469,0.959209471
96,200,100,0.4,0.5,0.6,1000,15.2750699,0.959859888
97,200,100,0.4,0.5,0.7,500,30.0871853,0.956506732
98,200,100,0.4,0.5,0.7,600,28.09210486,0.957039253
99,200,100,0.4,0.5,0.7,700,27.31024353,0.957696346
100,200,100,0.4,0.5,0.7,800,28.44350055,0.957005466
101,200,100,0.4,0.5,0.7,900,27.52064607,0.957293975
102,200,100,0.4,0.5,0.7,1000,30.36430519,0.958300257
103,200,100,0.4,0.5,0.8,500,78.72498247,0.964968697
104,200,100,0.4,0.5,0.8,600,42.90622212,0.956312032
105,200,100,0.4,0.5,0.8,700,79.84137729,0.966344643
106,200,100,0.4,0.5,0.8,800,42.74210679,0.956452581
107,200,100,0.4,0.5,0.8,900,74.48739492,0.965703737
108,200,100,0.4,0.5,0.8,1000,48.70509581,0.956769099
109,200,100,0.4,0.5,0.9,500,165.1697175,0.96352142
110,200,100,0.4,0.5,0.9,600,154.0241364,0.964390544
111,200,100,0.4,0.5,0.9,700,153.1312011,0.964443289
112,200,100,0.4,0.5,0.9,800,146.1313059,0.964721816
113,200,100,0.4,0.5,0.9,900,153.4756075,0.964447573
114,200,100,0.4,0.5,0.9,1000,167.9904544,0.963734875
115,200,100,0.4,0.5,1,500,109.8346841,0.954469282
116,200,100,0.4,0.5,1,600,113.311166,0.95476552
117,200,100,0.4,0.5,1,700,113.4292761,0.954749597
118,200,100,0.4,0.5,1,800,108.5876076,0.954633629
119,200,100,0.4,0.5,1,900,113.5663281,0.955555233
120,200,100,0.4,0.5,1,1000,115.8392374,0.955920682
121,200,100,0.4,0.6,0.1,500,12.62647044,0.9595768
122,200,100,0.4,0.6,0.1,600,14.73907322,0.960129407
123,200,100,0.4,0.6,0.1,700,12.09853773,0.959126811
124,200,100,0.4,0.6,0.1,800,12.77178437,0.959183076
125,200,100,0.4,0.6,0.1,900,14.04153084,0.959378741
126,200,100,0.4,0.6,0.1,1000,11.14045663,0.960081459
127,200,100,0.4,0.6,0.2,500,10.62196027,0.958389051
128,200,100,0.4,0.6,0.2,600,9.016124923,0.961273742
129,200,100,0.4,0.6,0.2,700,11.03900274,0.959167212
130,200,100,0.4,0.6,0.2,800,9.465584516,0.962556709
131,200,100,0.4,0.6,0.2,900,10.30352165,0.95954556
132,200,100,0.4,0.6,0.2,1000,10.40108075,0.958412592
133,200,100,0.4,0.6,0.3,500,8.869572565,0.961159379
134,200,100,0.4,0.6,0.3,600,8.978620403,0.96556371
135,200,100,0.4,0.6,0.3,700,10.99174966,0.958658875
136,200,100,0.4,0.6,0.3,800,8.769951752,0.966385652
137,200,100,0.4,0.6,0.3,900,10.927998,0.965238568
138,200,100,0.4,0.6,0.3,1000,9.154942729,0.96226541
139,200,100,0.4,0.6,0.4,500,10.92698133,0.964722204
140,200,100,0.4,0.6,0.4,600,10.58394092,0.965416444
141,200,100,0.4,0.6,0.4,700,9.660874947,0.962021231
142,200,100,0.4,0.6,0.4,800,10.35666026,0.965347443
143,200,100,0.4,0.6,0.4,900,10.48055803,0.965261469
144,200,100,0.4,0.6,0.4,1000,9.158243453,0.961939804
145,200,100,0.4,0.6,0.5,500,11.15692258,0.959931982
146,200,100,0.4,0.6,0.5,600,11.35781792,0.960297822
147,200,100,0.4,0.6,0.5,700,10.89604579,0.961052256
148,200,100,0.4,0.6,0.5,800,11.0545001,0.960900983
149,200,100,0.4,0.6,0.5,900,10.55081226,0.95961981
150,200,100,0.4,0.6,0.5,1000,10.76848057,0.960488144
151,200,100,0.4,0.6,0.6,500,18.21081601,0.964186348
152,200,100,0.4,0.6,0.6,600,15.71259726,0.964187761
153,200,100,0.4,0.6,0.6,700,14.32261425,0.960282248
154,200,100,0.4,0.6,0.6,800,12.6099379,0.959024543
155,200,100,0.4,0.6,0.6,900,11.6918984,0.959676817
156,200,100,0.4,0.6,0.6,1000,13.10455805,0.960171453
157,200,100,0.4,0.6,0.7,500,22.48704561,0.957678124
158,200,100,0.4,0.6,0.7,600,20.74153345,0.957819837
159,200,100,0.4,0.6,0.7,700,18.22412557,0.958639692
160,200,100,0.4,0.6,0.7,800,18.23231463,0.958196288
161,200,100,0.4,0.6,0.7,900,20.30059054,0.956837126
162,200,100,0.4,0.6,0.7,1000,19.15676578,0.958005179
163,200,100,0.4,0.6,0.8,500,46.95514612,0.964662906
164,200,100,0.4,0.6,0.8,600,25.53846916,0.956819535
165,200,100,0.4,0.6,0.8,700,43.22932884,0.964665125
166,200,100,0.4,0.6,0.8,800,49.8430735,0.965127428
167,200,100,0.4,0.6,0.8,900,47.88109643,0.965286626
168,200,100,0.4,0.6,0.8,1000,44.74552629,0.96525421
169,200,100,0.4,0.6,0.9,500,88.26780699,0.964518002
170,200,100,0.4,0.6,0.9,600,96.66791086,0.965154113
171,200,100,0.4,0.6,0.9,700,85.91297358,0.964389052
172,200,100,0.4,0.6,0.9,800,92.8562646,0.965225104
173,200,100,0.4,0.6,0.9,900,39.6346361,0.956793956
174,200,100,0.4,0.6,0.9,1000,89.20585423,0.965084725
175,200,100,0.4,0.6,1,500,65.0833601,0.954853516
176,200,100,0.4,0.6,1,600,64.18100843,0.95475424
177,200,100,0.4,0.6,1,700,60.10482807,0.955549197
178,200,100,0.4,0.6,1,800,62.35095256,0.955271885
179,200,100,0.4,0.6,1,900,60.95656271,0.955018821
180,200,100,0.4,0.6,1,1000,61.09124684,0.955068544
181,200,100,0.4,0.7,0.1,500,13.75726389,0.959256777
182,200,100,0.4,0.7,0.1,600,14.74447554,0.960074449
183,200,100,0.4,0.7,0.1,700,13.7541626,0.959467957
184,200,100,0.4,0.7,0.1,800,15.06849456,0.95961747
185,200,100,0.4,0.7,0.1,900,14.95122497,0.960103172
186,200,100,0.4,0.7,0.1,1000,15.86070878,0.959925903
187,200,100,0.4,0.7,0.2,500,10.65091909,0.961272976
188,200,100,0.4,0.7,0.2,600,11.01426386,0.962620253
189,200,100,0.4,0.7,0.2,700,12.0941708,0.959361565
190,200,100,0.4,0.7,0.2,800,11.88716961,0.959237159
191,200,100,0.4,0.7,0.2,900,11.10509628,0.958954721
192,200,100,0.4,0.7,0.2,1000,10.9751574,0.96256034
193,200,100,0.4,0.7,0.3,500,10.1709094,0.962232564
194,200,100,0.4,0.7,0.3,600,9.228639938,0.961868176
195,200,100,0.4,0.7,0.3,700,10.21145818,0.95819231
196,200,100,0.4,0.7,0.3,800,12.28498094,0.95900296
197,200,100,0.4,0.7,0.3,900,10.92830237,0.958803883
198,200,100,0.4,0.7,0.3,1000,10.56012866,0.958151819
199,200,100,0.4,0.7,0.4,500,9.242388465,0.965065249
200,200,100,0.4,0.7,0.4,600,8.65779649,0.960334969
201,200,100,0.4,0.7,0.4,700,9.031719447,0.964928105
202,200,100,0.4,0.7,0.4,800,8.693162558,0.959717129
203,200,100,0.4,0.7,0.4,900,8.646221676,0.960903958
204,200,100,0.4,0.7,0.4,1000,10.40372877,0.958592196
205,200,100,0.4,0.7,0.5,500,9.098730798,0.9606501
206,200,100,0.4,0.7,0.5,600,9.057004892,0.959194264
207,200,100,0.4,0.7,0.5,700,8.894776281,0.960596335
208,200,100,0.4,0.7,0.5,800,10.26387434,0.964857429
209,200,100,0.4,0.7,0.5,900,9.457497517,0.964789386
210,200,100,0.4,0.7,0.5,1000,8.882693785,0.959930896
211,200,100,0.4,0.7,0.6,500,12.00848458,0.965106203
212,200,100,0.4,0.7,0.6,600,13.19833904,0.964934394
213,200,100,0.4,0.7,0.6,700,9.33688099,0.959447784
214,200,100,0.4,0.7,0.6,800,9.691224484,0.960289575
215,200,100,0.4,0.7,0.6,900,11.53772228,0.964684522
216,200,100,0.4,0.7,0.6,1000,9.876801392,0.958964875
217,200,100,0.4,0.7,0.7,500,15.04405604,0.958092363
218,200,100,0.4,0.7,0.7,600,14.37264298,0.95773616
219,200,100,0.4,0.7,0.7,700,14.53133633,0.958067371
220,200,100,0.4,0.7,0.7,800,13.2689171,0.957469564
221,200,100,0.4,0.7,0.7,900,14.66775177,0.958167617
222,200,100,0.4,0.7,0.7,1000,13.27829129,0.957405151
223,200,100,0.4,0.7,0.8,500,30.78392931,0.964842625
224,200,100,0.4,0.7,0.8,600,33.13054169,0.964856644
225,200,100,0.4,0.7,0.8,700,30.68569792,0.965487416
226,200,100,0.4,0.7,0.8,800,30.78040275,0.964296546
227,200,100,0.4,0.7,0.8,900,30.94855166,0.96549447
228,200,100,0.4,0.7,0.8,1000,38.18045172,0.965648762
229,200,100,0.4,0.7,0.9,500,55.95814494,0.964017265
230,200,100,0.4,0.7,0.9,600,58.86065098,0.965002593
231,200,100,0.4,0.7,0.9,700,55.15540084,0.964999469
232,200,100,0.4,0.7,0.9,800,56.06285947,0.965275888
233,200,100,0.4,0.7,0.9,900,55.83634485,0.965208797
234,200,100,0.4,0.7,0.9,1000,61.071922,0.965842941
235,200,100,0.4,0.7,1,500,39.94195355,0.954435533
236,200,100,0.4,0.7,1,600,33.56883491,0.955592778
237,200,100,0.4,0.7,1,700,40.45425081,0.953776071
238,200,100,0.4,0.7,1,800,37.54809092,0.954320836
239,200,100,0.4,0.7,1,900,38.19045848,0.954329736
240,200,100,0.4,0.7,1,1000,90.87823761,0.964251684
241,200,100,0.4,0.8,0.1,500,19.04559601,0.960335302
242,200,100,0.4,0.8,0.1,600,16.55893302,0.960299917
243,200,100,0.4,0.8,0.1,700,17.96289033,0.960209217
244,200,100,0.4,0.8,0.1,800,17.01413474,0.960130017
