1,neurons,spread,MSE,R
1711,69,11,3.94E+05,0.73834
1712,69,12,6.17E+05,0.69785
1713,69,13,9.68E+05,0.65244
1714,69,14,1.54E+06,0.60759
1715,69,15,2.28E+06,0.56605
1716,69,16,3.54E+06,0.52957
1717,69,17,5.50E+06,0.49778
1718,69,18,8.46E+06,0.47
1719,69,19,1.27E+07,0.44548
1720,69,20,1.82E+07,0.42354
1721,69,21,2.48E+07,0.40361
1722,69,22,3.23E+07,0.38527
1723,69,23,4.02E+07,0.36819
1724,69,24,4.83E+07,0.35213
1725,69,25,28558,-0.51405
1726,69,26,38875,-0.47883
1727,69,27,54256,-0.44254
1728,69,28,77339,-0.40604
1729,69,29,1.12E+05,-0.37031
1730,69,30,1.62E+05,-0.33629
1731,69,31,2.33E+05,-0.30458
1732,69,32,3.31E+05,-0.2754
1733,69,33,4.63E+05,-0.24872
1734,69,34,6.37E+05,-0.22435
1735,69,35,8.63E+05,-0.20208
1736,69,36,1.23E+07,0.19153
1737,69,37,1.20E+07,0.18215
1738,69,38,1.19E+07,0.17347
1739,69,39,1.19E+07,0.16545
1740,69,40,1.20E+07,0.15808
1741,69,41,1.21E+07,0.15132
1742,69,42,1.24E+07,0.14513
1743,69,43,1.27E+07,0.13946
1744,69,44,1.30E+07,0.13427
1745,69,45,1.34E+07,0.1295
1746,69,46,1.38E+07,0.1251
1747,69,47,1.43E+07,0.12101
1748,69,48,1.48E+07,0.11718
1749,69,49,1.53E+07,0.11355
1750,69,50,1.59E+07,0.11007
1751,71,1,66.762,0.28648
1752,71,2,59.399,0.36767
1753,71,3,91.905,-0.26458
1754,71,4,7879.2,0.75555
1755,71,5,13523,0.79672
1756,71,6,25169,0.80347
1757,71,7,47025,0.79996
1758,71,8,85561,0.7946
1759,71,9,1.49E+05,0.78593
1760,71,10,2.47E+05,0.76833
1761,71,11,3.94E+05,0.73834
1762,71,12,6.17E+05,0.69785
1763,71,13,9.68E+05,0.65244
1764,71,14,1.54E+06,0.60759
1765,71,15,2.28E+06,0.56605
1766,71,16,3.54E+06,0.52957
1767,71,17,5.50E+06,0.49778
1768,71,18,8.46E+06,0.47
1769,71,19,1.27E+07,0.44548
1770,71,20,1.82E+07,0.42354
1771,71,21,2.48E+07,0.40361
1772,71,22,3.23E+07,0.38527
1773,71,23,4.02E+07,0.36819
1774,71,24,4.83E+07,0.35213
1775,71,25,28558,-0.51405
1776,71,26,38875,-0.47883
1777,71,27,54256,-0.44254
1778,71,28,77339,-0.40604
1779,71,29,1.12E+05,-0.37031
1780,71,30,1.62E+05,-0.33629
1781,71,31,2.33E+05,-0.30458
1782,71,32,3.31E+05,-0.2754
1783,71,33,4.63E+05,-0.24872
1784,71,34,6.37E+05,-0.22435
1785,71,35,8.63E+05,-0.20208
1786,71,36,1.23E+07,0.19153
1787,71,37,1.20E+07,0.18215
1788,71,38,1.19E+07,0.17347
1789,71,39,1.19E+07,0.16545
1790,71,40,1.20E+07,0.15808
1791,71,41,1.21E+07,0.15132
1792,71,42,1.24E+07,0.14513
1793,71,43,1.27E+07,0.13946
1794,71,44,1.30E+07,0.13427
1795,71,45,1.34E+07,0.1295
1796,71,46,1.38E+07,0.1251
1797,71,47,1.43E+07,0.12101
1798,71,48,1.48E+07,0.11718
1799,71,49,1.53E+07,0.11355
1800,71,50,1.59E+07,0.11007
1801,73,1,66.762,0.28648
1802,73,2,59.399,0.36767
1803,73,3,91.905,-0.26458
1804,73,4,7879.2,0.75555
1805,73,5,13523,0.79672
1806,73,6,25169,0.80347
1807,73,7,47025,0.79996
1808,73,8,85561,0.7946
1809,73,9,1.49E+05,0.78593
1810,73,10,2.47E+05,0.76833
1811,73,11,3.94E+05,0.73834
1812,73,12,6.17E+05,0.69785
1813,73,13,9.68E+05,0.65244
1814,73,14,1.54E+06,0.60759
1815,73,15,2.28E+06,0.56605
1816,73,16,3.54E+06,0.52957
1817,73,17,5.50E+06,0.49778
1818,73,18,8.46E+06,0.47
1819,73,19,1.27E+07,0.44548
1820,73,20,1.82E+07,0.42354
